Time,Consumer Price Index (All items) 2015 base,vs. Ya %,Base = 2015
Jan.1970,30.8,,
Feb.1970,30.9,,
Mar.1970,31.2,,
Apr.1970,31.5,,
May-1970,31.3,,
Jun.1970,31.3,,
Jul.1970,31.3,,
Aug.1970,31.2,,
Sep.1970,31.8,,
Oct.1970,32.3,,
Nov.1970,32.3,,
Dec.1970,32.5,,
Jan.1971,32.8,,
Feb.1971,32.8,,
Mar.1971,32.9,,
Apr.1971,33.3,,
May-1971,33.4,,
Jun.1971,33.5,,
Jul.1971,33.5,,
Aug.1971,33.5,,
Sep.1971,34.3,,
Oct.1971,34.4,,
Nov.1971,34.1,,
Dec.1971,34.1,,
Jan.1972,34.1,,
Feb.1972,34.3,,
Mar.1972,34.6,,
Apr.1972,35,,
May-1972,35.1,,
Jun.1972,35.2,,
Jul.1972,35.2,,
Aug.1972,35.4,,
Sep.1972,35.6,,
Oct.1972,35.8,,
Nov.1972,35.8,,
Dec.1972,36,,
Jan.1973,36.4,,
Feb.1973,36.7,,
Mar.1973,37.6,,
Apr.1973,38.2,,
May-1973,38.9,,
Jun.1973,39,,
Jul.1973,39.3,,
Aug.1973,39.6,,
Sep.1973,40.7,,
Oct.1973,40.9,,
Nov.1973,41.2,,
Dec.1973,42.6,,
Jan.1974,44.4,,
Feb.1974,45.8,,
Mar.1974,46.1,,
Apr.1974,47.3,,
May-1974,47.5,,
Jun.1974,47.7,,
Jul.1974,48.7,,
Aug.1974,49.2,,
Sep.1974,49.8,,
Oct.1974,51,,
Nov.1974,51.4,,
Dec.1974,51.6,,
Jan.1975,52.2,,
Feb.1975,52.2,,
Mar.1975,52.7,,
Apr.1975,53.6,,
May-1975,53.9,,
Jun.1975,53.9,,
Jul.1975,54,,
Aug.1975,53.9,,
Sep.1975,55.1,,
Oct.1975,55.9,,
Nov.1975,55.6,,
Dec.1975,55.6,,
Jan.1976,56.7,,
Feb.1976,57.1,,
Mar.1976,57.3,,
Apr.1976,58.6,,
May-1976,58.9,,
Jun.1976,59,,
Jul.1976,59.3,,
Aug.1976,59,,
Sep.1976,60.4,,
Oct.1976,60.8,,
Nov.1976,60.8,,
Dec.1976,61.5,,
Jan.1977,62.1,,
Feb.1977,62.4,,
Mar.1977,62.7,,
Apr.1977,63.8,,
May-1977,64.4,,
Jun.1977,64.1,,
Jul.1977,63.9,,
Aug.1977,64,,
Sep.1977,65,,
Oct.1977,65.5,,
Nov.1977,64.8,,
Dec.1977,64.6,,
Jan.1978,64.9,,
Feb.1978,65.2,,
Mar.1978,65.8,,
Apr.1978,66.5,,
May-1978,66.9,,
Jun.1978,66.6,,
Jul.1978,66.8,,
Aug.1978,67,,
Sep.1978,67.7,,
Oct.1978,67.9,,
Nov.1978,67.2,,
Dec.1978,67.1,,
Jan.1979,67.2,,
Feb.1979,67,,
Mar.1979,67.6,,
Apr.1979,68.5,,
May-1979,69,,
Jun.1979,69.1,,
Jul.1979,69.7,,
Aug.1979,69,,
Sep.1979,69.9,,
Oct.1979,70.8,,
Nov.1979,70.5,,
Dec.1979,70.9,,
Jan.1980,71.6,,
Feb.1980,72.2,,
Mar.1980,72.6,,
Apr.1980,73.9,,
May-1980,74.5,,
Jun.1980,74.9,,
Jul.1980,74.9,,
Aug.1980,74.7,,
Sep.1980,76,,
Oct.1980,76.1,,
Nov.1980,76.3,,
Dec.1980,76,,
Jan.1981,76.8,,
Feb.1981,76.7,,
Mar.1981,77,,
Apr.1981,77.6,,
May-1981,78.3,,
Jun.1981,78.4,,
Jul.1981,78.2,,
Aug.1981,77.8,,
Sep.1981,79,,
Oct.1981,79.3,,
Nov.1981,79.2,,
Dec.1981,79.3,,
Jan.1982,79.3,,
Feb.1982,79.2,,
Mar.1982,79.3,,
Apr.1982,79.9,,
May-1982,80.2,,
Jun.1982,80.2,,
Jul.1982,79.7,,
Aug.1982,80.3,,
Sep.1982,81.5,,
Oct.1982,81.8,,
Nov.1982,81,,
Dec.1982,80.9,,
Jan.1983,81,,
Feb.1983,80.7,,
Mar.1983,81.2,,
Apr.1983,81.5,,
May-1983,82.4,,
Jun.1983,81.9,,
Jul.1983,81.5,,
Aug.1983,81.3,,
Sep.1983,82.3,,
Oct.1983,83,,
Nov.1983,82.5,,
Dec.1983,82.3,,
Jan.1984,82.5,,
Feb.1984,83,,
Mar.1984,83.2,,
Apr.1984,83.4,,
May-1984,84,,
Jun.1984,83.4,,
Jul.1984,83.6,,
Aug.1984,82.9,,
Sep.1984,84.2,,
Oct.1984,84.8,,
Nov.1984,84.3,,
Dec.1984,84.5,,
Jan.1985,84.8,,
Feb.1985,84.4,,
Mar.1985,84.8,,
Apr.1985,85.3,,
May-1985,85.4,,
Jun.1985,85.4,,
Jul.1985,85.6,,
Aug.1985,85.4,,
Sep.1985,85.5,,
Oct.1985,86.3,,
Nov.1985,85.6,,
Dec.1985,85.7,,
Jan.1986,86,,
Feb.1986,85.9,,
Mar.1986,85.9,,
Apr.1986,86.1,,
May-1986,86.4,,
Jun.1986,85.9,,
Jul.1986,85.7,,
Aug.1986,85.5,,
Sep.1986,85.9,,
Oct.1986,86,,
Nov.1986,85.6,,
Dec.1986,85.4,,
Jan.1987,85.1,,
Feb.1987,85.1,,
Mar.1987,85.4,,
Apr.1987,86.2,,
May-1987,86.4,,
Jun.1987,86.2,,
Jul.1987,85.8,,
Aug.1987,85.9,,
Sep.1987,86.6,,
Oct.1987,86.6,,
Nov.1987,86.2,,
Dec.1987,86.1,,
Jan.1988,85.9,,
Feb.1988,85.7,,
Mar.1988,86,,
Apr.1988,86.5,,
May-1988,86.5,,
Jun.1988,86.4,,
Jul.1988,86.2,,
Aug.1988,86.5,,
Sep.1988,87.1,,
Oct.1988,87.6,,
Nov.1988,87.2,,
Dec.1988,87,,
Jan.1989,86.8,,
Feb.1989,86.5,,
Mar.1989,87,,
Apr.1989,88.5,,
May-1989,89,,
Jun.1989,88.9,,
Jul.1989,88.8,,
Aug.1989,88.7,,
Sep.1989,89.4,,
Oct.1989,90.1,,
Nov.1989,89.2,,
Dec.1989,89.3,,
Jan.1990,89.7,,
Feb.1990,89.8,,
Mar.1990,90.1,,
Apr.1990,90.9,,
May-1990,91.3,,
Jun.1990,91,,
Jul.1990,90.8,,
Aug.1990,91.2,,
Sep.1990,91.9,,
Oct.1990,92.9,,
Nov.1990,92.7,,
Dec.1990,92.6,,
Jan.1991,93.2,,
Feb.1991,93,,
Mar.1991,93.4,,
Apr.1991,94,,
May-1991,94.4,,
Jun.1991,94.1,,
Jul.1991,94,,
Aug.1991,94.2,,
Sep.1991,94.3,,
Oct.1991,95.3,,
Nov.1991,95.5,,
Dec.1991,95.1,,
Jan.1992,94.9,,
Feb.1992,94.8,,
Mar.1992,95.3,,
Apr.1992,96.3,,
May-1992,96.4,,
Jun.1992,96.3,,
Jul.1992,95.5,,
Aug.1992,95.8,,
Sep.1992,96.3,,
Oct.1992,96.4,,
Nov.1992,96.2,,
Dec.1992,96.2,,
Jan.1993,96.1,,
Feb.1993,96.2,,
Mar.1993,96.4,,
Apr.1993,97.1,,
May-1993,97.2,,
Jun.1993,97.1,,
Jul.1993,97.4,,
Aug.1993,97.6,,
Sep.1993,97.7,,
Oct.1993,97.6,,
Nov.1993,97.1,,
Dec.1993,97.2,,
Jan.1994,97.3,,
Feb.1994,97.3,,
Mar.1994,97.7,,
Apr.1994,97.9,,
May-1994,98,,
Jun.1994,97.6,,
Jul.1994,97.2,,
Aug.1994,97.6,,
Sep.1994,97.9,,
Oct.1994,98.4,,
Nov.1994,98.1,,
Dec.1994,97.8,,
Jan.1995,97.8,,
Feb.1995,97.5,,
Mar.1995,97.4,,
Apr.1995,97.7,,
May-1995,97.9,,
Jun.1995,97.8,,
Jul.1995,97.3,,
Aug.1995,97.4,,
Sep.1995,98,,
Oct.1995,97.7,,
Nov.1995,97.4,,
Dec.1995,97.4,,
Jan.1996,97.3,,
Feb.1996,97.1,,
Mar.1996,97.3,,
Apr.1996,97.9,,
May-1996,98.1,,
Jun.1996,97.8,,
Jul.1996,97.7,,
Aug.1996,97.6,,
Sep.1996,98,,
Oct.1996,98.2,,
Nov.1996,97.9,,
Dec.1996,98,,
Jan.1997,97.9,,
Feb.1997,97.7,,
Mar.1997,97.8,,
Apr.1997,99.8,,
May-1997,100,,
Jun.1997,100,,
Jul.1997,99.6,,
Aug.1997,99.7,,
Sep.1997,100.4,,
Oct.1997,100.7,,
Nov.1997,100,,
Dec.1997,99.8,,
Jan.1998,99.7,,
Feb.1998,99.6,,
Mar.1998,100,,
Apr.1998,100.2,,
May-1998,100.5,,
Jun.1998,100.1,,
Jul.1998,99.5,,
Aug.1998,99.4,,
Sep.1998,100.2,,
Oct.1998,100.9,,
Nov.1998,100.8,,
Dec.1998,100.4,,
Jan.1999,99.9,,
Feb.1999,99.5,,
Mar.1999,99.6,,
Apr.1999,100.1,,
May-1999,100.1,,
Jun.1999,99.8,,
Jul.1999,99.4,,
Aug.1999,99.7,,
Sep.1999,100,,
Oct.1999,100.2,,
Nov.1999,99.6,,
Dec.1999,99.3,,
Jan.2000,99.2,,
Feb.2000,98.9,,
Mar.2000,99.1,,
Apr.2000,99.3,,
May-2000,99.4,,
Jun.2000,99.2,,
Jul.2000,98.9,,
Aug.2000,99.2,,
Sep.2000,99.1,,
Oct.2000,99.1,,
Nov.2000,98.8,,
Dec.2000,98.9,,
Jan.2001,98.9,,
Feb.2001,98.6,,
Mar.2001,98.4,,
Apr.2001,98.6,,
May-2001,98.7,,
Jun.2001,98.4,,
Jul.2001,98.1,,
Aug.2001,98.5,,
Sep.2001,98.3,,
Oct.2001,98.3,,
Nov.2001,97.8,,
Dec.2001,97.7,,
Jan.2002,97.5,,
Feb.2002,97,,
Mar.2002,97.2,,
Apr.2002,97.5,,
May-2002,97.8,,
Jun.2002,97.7,,
Jul.2002,97.3,,
Aug.2002,97.6,,
Sep.2002,97.6,,
Oct.2002,97.4,,
Nov.2002,97.4,,
Dec.2002,97.4,,
Jan.2003,97.1,,
Feb.2003,96.8,,
Mar.2003,97.1,,
Apr.2003,97.4,,
May-2003,97.6,,
Jun.2003,97.3,,
Jul.2003,97.1,,
Aug.2003,97.3,,
Sep.2003,97.4,,
Oct.2003,97.4,,
Nov.2003,96.9,,
Dec.2003,97,,
Jan.2004,96.8,,
Feb.2004,96.8,,
Mar.2004,97,,
Apr.2004,97,,
May-2004,97.1,,
Jun.2004,97.3,,
Jul.2004,97,,
Aug.2004,97.1,,
Sep.2004,97.4,,
Oct.2004,97.9,,
Nov.2004,97.7,,
Dec.2004,97.2,,
Jan.2005,97,,
Feb.2005,96.7,,
Mar.2005,97,,
Apr.2005,97.1,,
May-2005,97.2,,
Jun.2005,96.8,,
Jul.2005,96.7,,
Aug.2005,96.8,,
Sep.2005,97.1,,
Oct.2005,97.1,,
Nov.2005,96.7,,
Dec.2005,96.8,,
Jan.2006,96.9,,
Feb.2006,96.6,,
Mar.2006,96.8,,
Apr.2006,97,,
May-2006,97.3,,
Jun.2006,97.3,,
Jul.2006,97,,
Aug.2006,97.7,,
Sep.2006,97.7,,
Oct.2006,97.5,,
Nov.2006,97,,
Dec.2006,97.1,,
Jan.2007,96.9,,
Feb.2007,96.4,,
Mar.2007,96.7,,
Apr.2007,97,,
May-2007,97.3,,
Jun.2007,97.1,,
Jul.2007,97,,
Aug.2007,97.5,,
Sep.2007,97.5,,
Oct.2007,97.8,,
Nov.2007,97.6,,
Dec.2007,97.8,,
Jan.2008,97.6,,
Feb.2008,97.4,,
Mar.2008,97.9,,
Apr.2008,97.8,,
May-2008,98.6,,
Jun.2008,99,,
Jul.2008,99.2,,
Aug.2008,99.5,,
Sep.2008,99.5,,
Oct.2008,99.4,,
Nov.2008,98.6,,
Dec.2008,98.2,,
Jan.2009,97.6,,
Feb.2009,97.3,,
Mar.2009,97.6,,
Apr.2009,97.7,,
May-2009,97.5,,
Jun.2009,97.3,,
Jul.2009,97,,
Aug.2009,97.3,,
Sep.2009,97.3,,
Oct.2009,96.9,,
Nov.2009,96.7,,
Dec.2009,96.5,,
Jan.2010,96.6,,
Feb.2010,96.6,,
Mar.2010,96.8,,
Apr.2010,96.9,,
May-2010,96.8,,
Jun.2010,96.6,,
Jul.2010,96.1,,
Aug.2010,96.2,,
Sep.2010,96.4,,
Oct.2010,96.7,,
Nov.2010,96.4,,
Dec.2010,96.2,,
Jan.2011,96.1,,
Feb.2011,96.1,,
Mar.2011,96.3,,
Apr.2011,96.5,,
May-2011,96.4,,
Jun.2011,96.3,,
Jul.2011,96.3,,
Aug.2011,96.4,,
Sep.2011,96.4,,
Oct.2011,96.5,,
Nov.2011,95.9,,
Dec.2011,96,,
Jan.2012,96.2,,
Feb.2012,96.4,,
Mar.2012,96.8,,
Apr.2012,96.9,,
May-2012,96.6,,
Jun.2012,96.1,,
Jul.2012,95.8,,
Aug.2012,96,,
Sep.2012,96.1,,
Oct.2012,96.1,,
Nov.2012,95.8,,
Dec.2012,95.8,,
Jan.2013,95.9,,
Feb.2013,95.7,,
Mar.2013,95.9,,
Apr.2013,96.2,,
May-2013,96.3,,
Jun.2013,96.3,,
Jul.2013,96.5,,
Aug.2013,96.8,,
Sep.2013,97.1,,
Oct.2013,97.2,,
Nov.2013,97.3,,
Dec.2013,97.4,,
Jan.2014,97.2,,
Feb.2014,97.2,,
Mar.2014,97.5,,
Apr.2014,99.5,,
May-2014,99.9,,
Jun.2014,99.8,,
Jul.2014,99.9,,
Aug.2014,100,3.3%,
Sep.2014,100.3,3.3%,
Oct.2014,100,2.9%,
Nov.2014,99.6,2.4%,
Dec.2014,99.7,2.4%,
Jan.2015,99.6,2.5%,
Feb.2015,99.4,2.3%,
Mar.2015,99.7,2.3%,
Apr.2015,100.2,0.7%,
May-2015,100.4,0.5%,
Jun.2015,100.2,0.4%,
Jul.2015,100.1,0.2%,
Aug.2015,100.2,0.2%,
Sep.2015,100.3,0.0%,
Oct.2015,100.2,0.2%,
Nov.2015,99.9,0.3%,
Dec.2015,99.8,0.1%,
Jan.2016,99.5,-0.1%,
Feb.2016,99.6,0.2%,
Mar.2016,99.7,0.0%,
Apr.2016,99.9,-0.3%,
May-2016,100,-0.4%,
Jun.2016,99.9,-0.3%,
Jul.2016,99.6,-0.5%,
Aug.2016,99.7,-0.5%,
Sep.2016,99.8,-0.5%,
Oct.2016,100.4,0.2%,
Nov.2016,100.4,0.5%,
Dec.2016,100.1,0.3%,
Jan.2017,100,0.5%,
Feb.2017,99.8,0.2%,
Mar.2017,99.9,0.2%,
Apr.2017,100.3,0.4%,
May-2017,100.4,0.4%,
Jun.2017,100.2,0.3%,
Jul.2017,100.1,0.5%,
Aug.2017,100.3,0.6%,
Sep.2017,100.5,0.7%,
Oct.2017,100.6,0.2%,
Nov.2017,100.9,0.5%,
Dec.2017,101.2,1.1%,
Jan.2018,101.3,1.3%,
Feb.2018,101.3,1.5%,
Mar.2018,101,1.1%,
Apr.2018,100.9,0.6%,
May-2018,101,0.6%,
Jun.2018,100.9,0.7%,
Jul.2018,101,0.9%,
Aug.2018,101.6,1.3%,
Sep.2018,101.7,1.2%,
Oct.2018,102,1.4%,
Nov.2018,101.8,0.9%,
Dec.2018,101.5,0.3%,
Jan.2019,101.5,0.2%,
Feb.2019,101.5,0.2%,
Mar.2019,101.5,0.5%,
Apr.2019,101.8,0.9%,
May-2019,101.8,0.8%,
Jun.2019,101.6,0.7%,
Jul.2019,101.6,0.6%,
Aug.2019,101.8,0.2%,
Sep.2019,101.9,0.2%,
Oct.2019,102.2,0.2%,
Nov.2019,102.3,0.5%,
Dec.2019,102.3,0.8%,
Jan.2020,102.2,0.7%,
Feb.2020,102,0.5%,
Mar.2020,101.9,0.4%,
Apr.2020,101.9,0.1%,
May-2020,101.8,0.0%,
Jun.2020,101.7,0.1%,
Jul.2020,101.9,0.3%,
Aug.2020,102,0.2%,
Sep.2020,102,0.1%,
Oct.2020,101.8,-0.4%,
Nov.2020,101.3,-1.0%,
